date,weighted_teu
2020/1/6,851804.2879
2020/1/13,910797.3754
2020/1/20,817815.18
2020/1/27,775762.6396
2020/2/3,728618.5833
2020/2/10,882103.2863
2020/2/17,734700.3658
2020/2/24,486191.9146
2020/3/2,388141.3204
2020/3/9,528675.0317
2020/3/16,643641.0396
2020/3/23,601815.7096
2020/3/30,580110.7317
2020/4/6,823587.8013
2020/4/13,795777.0225
2020/4/20,785347.0183
2020/4/27,1236092.253
2020/5/4,607031.0846
2020/5/11,732782.0642
2020/5/18,708141.1629
2020/5/25,569519.6579
2020/6/1,663265.0008
2020/6/8,1044859.723
2020/6/15,869154.3279
2020/6/22,846674.9983
2020/6/29,910722.0446
2020/7/6,1068607.402
2020/7/13,947063.4879
2020/7/20,928633.5842
2020/7/27,1068048.398
2020/8/3,994888.0896
2020/8/10,1086230.5
2020/8/17,1009683.316
2020/8/24,1088570.836
2020/8/31,1173914.703
2020/9/7,1068692.984
2020/9/14,1183558.721
2020/9/21,1223220.335
2020/9/28,1351582.508
2020/10/5,1398028.173
2020/10/12,1692719.631
2020/10/19,1435003.143
2020/10/26,1555679.856
2020/11/2,1441153.241
2020/11/9,1271638.823
2020/11/16,1731758.236
2020/11/23,2149296.498
2020/11/30,1343606.156
2020/12/7,1634714.435
2020/12/14,1591708.076
2020/12/21,1825572.92
2020/12/28,1691610.06
2021/1/4,1465961.732
2021/1/11,1593795.96
2021/1/18,1899782.329
2021/1/25,1393275.692
2021/2/1,1993534.535
2021/2/8,2045901.928
2021/2/15,1526149.281
2021/2/22,1732891.76
2021/3/1,1614582.824
2021/3/8,1643580.921
2021/3/15,1884307.56
2021/3/22,1635476.977
2021/3/29,1802486.456
2021/4/5,1709402.453
2021/4/12,1840382.812
2021/4/19,1392596.373
2021/4/26,1670268.458
2021/5/3,2887644.976
2021/5/10,1633905.492
2021/5/17,1654271.395
2021/5/24,1653389.941
2021/5/31,1972644.513
2021/6/7,1106878.121
2021/6/14,1657107.367
2021/6/21,1477137.428
2021/6/28,1466049.564
2021/7/5,1589526.707
2021/7/12,1495712.684
2021/7/19,2091775.574
2021/7/26,1514481.952
2021/8/2,1773446.115
2021/8/9,1797505.39
2021/8/16,1599417.208
2021/8/23,1817204.55
2021/8/30,1569584.602
2021/9/6,1602196.565
2021/9/13,2147230.597
2021/9/20,1394846.535
2021/9/27,1749706.15
