时间,CCFI
2002.01.04,992
2002.01.11,994.84
2002.01.18,965.67
2002.01.25,1007.89
2002.02.01,992.92
2002.02.08,1015.07
2002.02.15,994.76
2002.02.22,974.45
2002.03.01,934.75
2002.03.08,1003.56
2002.03.15,1013.49
2002.03.22,1001.78
2002.03.29,1016.54
2002.04.05,990.49
2002.04.12,1040.95
2002.04.19,1015.09
2002.04.26,972.32
2002.05.03,976.72
2002.05.10,981.12
2002.05.17,985.52
2002.05.24,976.28
2002.05.31,998.11
2002.06.07,1008.01
2002.06.14,1006.19
2002.06.21,980.6
2002.06.28,983.65
2002.07.05,1001.6
2002.07.12,1026.15
2002.07.19,1028.97
2002.07.26,1032.33
2002.08.02,1033.76
2002.08.09,1018.31
2002.08.16,1044.73
2002.08.23,1024.7
2002.08.30,1012.67
2002.09.06,1037.42
2002.09.13,1089.47
2002.09.20,1044.15
2002.09.27,1028.18
2002.10.04,1069.5
2002.10.11,1110.81
2002.10.18,1062.95
2002.10.25,987.79
2002.11.01,1088.88
2002.11.08,1135.07
2002.11.15,1179.05
2002.11.22,1181.19
2002.11.29,1144.95
2002.12.06,1107.69
2002.12.13,1095.8
2002.12.20,1130.47
2002.12.27,1147.17
2003.01.03,1169.14
2003.01.10,1174.26
2003.01.17,1208.12
2003.01.24,1235
2003.01.31,1202.98
2003.02.07,1170.97
2003.02.14,1138.95
2003.02.21,1143.18
2003.02.28,1090.8
2003.03.07,1065.99
2003.03.14,1134.34
2003.03.21,1110.4
2003.03.28,1110.25
2003.04.04,1116.02
2003.04.11,1055.95
2003.04.18,1091.44
2003.04.25,1114.5
2003.05.02,1092.47
2003.05.09,1063.06
2003.05.16,1033.65
2003.05.23,1219.8
2003.05.30,1354.19
2003.06.06,1327.21
2003.06.13,1275.58
2003.06.20,1349.87
2003.06.27,1347.91
2003.07.04,1314.5
2003.07.11,1319.32
2003.07.18,1353.57
2003.07.25,1311.59
2003.08.01,1338.72
2003.08.08,1329.11
2003.08.15,1332.6
2003.08.22,1358.07
2003.08.29,1317.21
2003.09.05,1322.81
2003.09.12,1338.28
2003.09.19,1313.46
2003.09.26,1336.7
2003.10.03,1306.34
2003.10.10,1306.34
2003.10.17,1248.61
2003.10.24,1238.58
2003.10.31,1263.31
2003.11.07,1245.64
2003.11.14,1237.55
2003.11.21,1229.46
2003.11.28,1260.04
2003.12.05,1315.26
2003.12.12,1315.58
2003.12.19,1262.84
2003.12.26,1268.46
2004.01.02,1274.07
2004.01.09,1291.68
2004.01.16,1238.73
2004.01.23,1268.58
2004.01.30,1292.19
2004.02.06,1259.55
2004.02.13,1193.05
2004.02.20,1327.41
2004.02.27,1211.46
2004.03.05,1298.04
2004.03.12,1292.44
2004.03.19,1250.81
2004.03.26,1234.18
2004.04.02,1239.65
2004.04.09,1285.45
2004.04.16,1262.12
2004.04.23,1266.12
2004.04.30,1238.63
2004.05.07,1238.82
2004.05.14,1253.76
2004.05.21,1240.13
2004.05.28,1283.05
2004.06.04,1299.13
2004.06.11,1308.78
2004.06.18,1291.33
2004.06.25,1320.95
2004.07.02,1332.01
2004.07.09,1315.72
2004.07.16,1325.33
2004.07.23,1296.4
2004.07.30,1298.27
2004.08.06,1305.32
2004.08.13,1314.65
2004.08.20,1304.53
2004.08.27,1296.28
2004.09.03,1325.03
2004.09.10,1326.15
2004.09.17,1318.41
2004.09.24,1328
2004.10.01,1324.21
2004.10.08,1283
2004.10.15,1288
2004.10.22,1310
2004.10.29,1354.76
2004.11.05,1330.37
2004.11.12,1320.97
2004.11.19,1365
2004.11.26,1282.84
2004.12.03,1304
2004.12.10,1290.52
2004.12.17,1283.78
2004.12.24,1298
2004.12.31,1326.38
2005.01.07,1376
2005.01.14,1317
2005.01.21,1317.27
2005.01.28,1274.76
2005.02.04,1361.97
2005.02.11,1328.61
2005.02.18,1303.12
2005.02.25,1176.77
2005.03.04,1240.24
2005.03.11,1335.43
2005.03.18,1350.31
2005.03.25,1253.68
2005.04.01,1318
2005.04.08,1261.9
2005.04.15,1340.56
2005.04.22,1245.79
2005.04.29,1324
2005.05.06,1339.57
2005.05.13,1302.74
2005.05.20,1318.5
2005.05.27,1345.1
2005.06.03,1381.68
2005.06.10,1395
2005.06.17,1341.81
2005.06.24,1345.02
2005.07.01,1324.07
2005.07.08,1358.82
2005.07.15,1373.27
2005.07.22,1385.3
2005.07.29,1352.67
2005.08.05,1363
2005.08.12,1346.95
2005.08.19,1365
2005.08.26,1369
2005.09.02,1365.57
2005.09.09,1347.32
2005.09.16,1340
2005.09.23,1387
2005.09.30,1349.82
2005.10.07,1314.75
2005.10.14,1346.68
2005.10.21,1334.46
2005.10.28,1364
2005.11.04,1345.66
2005.11.11,1284
2005.11.18,1267.89
2005.11.25,1223
2005.12.02,1240.39
2005.12.09,1240
2005.12.16,1226.34
2005.12.23,1178
2005.12.30,1214
2006.01.06,1211
2006.01.13,1204.23
2006.01.20,1207.02
2006.01.27,1189.23
2006.02.03,1213.32
2006.02.10,1188.76
2006.02.17,1111.78
2006.02.24,1156.33
2006.03.03,1230.49
2006.03.10,1206.02
2006.03.17,1160
2006.03.24,1193
2006.03.31,1192
2006.04.07,1209
2006.04.14,1202
2006.04.21,1189.03
2006.04.28,1214
2006.05.05,1183
2006.05.12,1191.02
2006.05.19,1187.93
2006.05.26,1150.45
2006.06.02,1196.33
2006.06.09,1185.89
2006.06.16,1181.93
2006.06.23,1181.66
2006.06.30,1171.88
2006.07.07,1162.67
2006.07.14,1172.17
2006.07.21,1160.33
2006.07.28,1167.49
2006.08.04,1175.45
2006.08.11,1182.39
2006.08.18,1172.58
2006.08.25,1197.18
2006.09.01,1170.46
2006.09.08,1160.56
2006.09.15,1169.33
2006.09.22,1167.7
2006.09.29,1162.54
2006.10.06,1151.17
2006.10.13,1189.72
2006.10.20,1161.29
2006.10.27,1147.97
2006.11.03,1188.29
2006.11.10,1164.63
2006.11.17,1193.33
2006.11.24,1198.22
2006.12.01,1158.78
2006.12.08,1183.01
2006.12.15,1167.07
2006.12.22,1180.24
2006.12.29,1204.33
2007.01.05,1152.32
2007.01.12,1212.24
2007.01.19,1209.06
2007.01.26,1205.29
2007.02.02,1189.18
2007.02.09,1191.42
2007.02.16,1167.35
2007.02.23,1221.81
2007.03.02,1095.39
2007.03.09,1017.59
2007.03.16,1047.65
2007.03.23,1056.83
2007.03.30,1045.73
2007.04.06,1032.27
2007.04.13,1070.21
