时间,SCFI:美西(基本港)（美元/四十英尺标箱）
2009.10.16,1431
2009.10.23,1400
2009.10.30,1402
2009.11.06,1403
2009.11.13,1386
2009.11.20,1373
2009.11.27,1372
2009.12.04,1367
2009.12.11,1360
2009.12.18,1358
2009.12.25,1358
2010.01.08,1452
2010.01.15,1609
2010.01.22,1803
2010.01.29,1988
2010.02.05,2061
2010.02.12,2142
2010.02.26,2139
2010.03.05,2142
2010.03.12,2117
2010.03.19,2043
2010.03.26,2028
2010.04.02,2041
2010.04.09,2050
2010.04.16,2080
2010.04.23,2106
2010.05.07,2395
2010.05.14,2504
2010.05.21,2531
2010.05.28,2587
2010.06.04,2590
2010.06.11,2743
2010.06.18,2810
2010.06.25,2823
2010.07.02,2833
2010.07.09,2816
2010.07.16,2794
2010.07.23,2779
2010.07.30,2787
2010.08.06,2787
2010.08.13,2765
2010.08.20,2752
2010.08.27,2692
2010.09.03,2635
2010.09.10,2567
2010.09.17,2493
2010.10.15,2379
2010.10.22,2303
2010.10.29,2202
2010.11.05,2159
2010.11.12,2111
2010.11.19,2048
2010.11.26,1977
2010.12.03,1927
2010.12.10,1856
2010.12.17,1832
2010.12.24,1823
2010.12.31,1962
2011.01.07,2016
2011.01.14,1977
2011.01.21,1955
2011.01.28,1933
2011.02.11,1900
2011.02.18,1835
2011.02.25,1783
2011.03.04,1737
2011.03.11,1654
2011.03.18,1617
2011.03.25,1608
2011.04.08,1657
2011.04.15,1639
2011.04.22,1645
2011.04.29,1732
2011.05.06,1843
2011.05.13,1841
2011.05.20,1819
2011.05.27,1800
2011.06.03,1743
2011.06.10,1719
2011.06.17,1656
2011.06.24,1633
2011.07.01,1652
2011.07.08,1652
2011.07.15,1627
2011.07.22,1609
2011.07.29,1585
2011.08.05,1567
2011.08.12,1589
2011.08.19,1769
2011.08.26,1752
2011.09.02,1704
2011.09.09,1675
2011.09.16,1633
2011.09.23,1589
2011.09.30,1556
2011.10.14,1495
2011.10.21,1486
2011.10.28,1494
2011.11.04,1500
2011.11.11,1481
2011.11.18,1460
2011.11.25,1435
2011.12.02,1426
2011.12.09,1419
2011.12.16,1418
2011.12.23,1424
2011.12.30,1692
2012.01.06,1813
2012.01.13,1822
2012.01.20,1825
2012.02.03,1819
2012.02.10,1824
2012.02.17,1798
2012.02.24,1774
2012.03.02,1759
2012.03.09,1753
2012.03.16,1992
2012.03.23,2021
2012.03.30,2013
2012.04.06,2028
2012.04.13,2285
2012.04.20,2415
2012.04.27,2414
2012.05.04,2412
2012.05.11,2393
2012.05.18,2330
2012.05.25,2333
2012.06.01,2325
2012.06.08,2658
2012.06.29,2571
2012.07.06,2561
2012.07.13,2476
2012.07.20,2389
2012.07.27,2368
2012.08.03,2671
2012.08.10,2782
2012.08.17,2683
2012.08.24,2568
2012.08.31,2485
2012.09.07,2490
2012.09.14,2711
2012.09.21,2727
2012.09.28,2730
2012.10.12,2592
2012.10.19,2510
2012.10.26,2476
2012.11.02,2408
2012.11.09,2310
2012.11.16,2224
2012.11.23,2089
2012.11.30,2046
2012.12.07,2019
2012.12.14,2199
2012.12.21,2231
2012.12.28,2223
2013.01.04,2221
2013.01.11,2341
2013.01.18,2520
2013.01.25,2497
2013.02.01,2475
2013.02.08,2445
2013.02.22,2364
2013.03.01,2287
2013.03.08,2189
2013.03.15,2122
2013.03.22,2104
2013.03.29,2264
2013.04.05,2302
2013.04.12,2226
2013.04.19,2171
2013.04.26,2102
2013.05.03,2067
2013.05.10,1997
2013.05.17,2012
2013.05.24,2093
2013.05.31,2008
2013.06.07,1949
2013.06.14,1881
2013.06.21,1845
2013.06.28,2114
2013.07.05,2131
2013.07.12,2043
2013.07.19,1979
2013.07.26,1942
2013.08.02,2069
2013.08.09,1994
2013.08.16,1941
2013.08.23,1889
2013.08.30,1965
2013.09.06,1989
2013.09.13,1916
2013.09.20,1891
2013.09.27,1837
2013.10.11,1773
2013.10.18,1739
2013.10.25,1731
2013.11.01,1724
2013.11.08,1718
2013.11.15,1885
2013.11.22,1849
2013.11.29,1768
2013.12.06,1717
2013.12.13,1700
2013.12.20,1814
2013.12.27,1803
2014.01.03,1815
2014.01.10,1866
2014.01.17,2111
2014.01.24,2110
2014.01.31,2108
2014.02.07,2108
2014.02.14,2041
2014.02.21,1945
2014.02.28,1852
2014.03.07,1784
2014.03.14,1931
2014.03.21,1865
2014.03.28,1824
2014.04.04,1808
2014.04.11,1872
2014.04.18,1923
2014.04.25,1922
2014.05.02,1913
2014.05.09,1907
2014.05.16,1987
2014.05.23,1923
2014.05.30,1865
2014.06.06,1802
2014.06.13,1761
2014.06.20,1720
2014.06.27,1769
2014.07.04,1841
2014.07.11,1824
2014.07.18,1783
2014.07.25,1765
2014.08.01,2198
2014.08.08,2189
2014.08.15,2109
2014.08.22,2044
2014.08.29,2178
2014.09.05,2304
2014.09.12,2195
2014.09.19,2086
2014.09.26,1930
2014.10.10,1891
2014.10.17,2139
2014.10.24,2109
2014.10.31,1988
2014.11.07,1927
2014.11.14,2090
2014.11.21,2158
2014.11.28,1905
2014.12.05,1825
2014.12.12,2259
2014.12.19,2242
2014.12.26,2125
2015.01.02,2058
2015.01.09,1930
2015.01.16,2089
2015.01.23,2063
2015.01.30,1979
2015.02.06,2242
2015.02.13,2265
2015.02.27,2009
2015.03.06,1921
2015.03.13,1835
2015.03.20,1748
2015.03.27,1701
2015.04.03,1635
2015.04.10,1932
2015.04.17,1623
2015.04.24,1596
2015.05.01,1783
2015.05.08,1647
2015.05.15,1519
2015.05.22,1412
2015.05.29,1526
2015.06.05,1447
2015.06.12,1341
2015.06.19,1268
2015.06.26,1229
2015.07.03,1421
2015.07.10,1280
2015.07.17,1175
2015.07.24,1123
2015.07.31,1607
2015.08.07,1542
2015.08.14,1719
2015.08.21,1585
2015.08.28,1481
2015.09.04,1456
2015.09.11,1461
2015.09.18,1379
2015.09.25,1291
2015.10.09,1197
2015.10.16,1377
2015.10.23,1166
2015.10.30,1363
2015.11.06,1102
2015.11.13,1009
2015.11.20,922
2015.11.27,936
2015.12.04,891
2015.12.11,816
2015.12.18,768
2015.12.25,766
2016.01.01,1518
2016.01.08,1498
2016.01.15,1417
2016.01.22,1377
2016.01.29,1388
2016.02.05,1321
2016.02.19,1070
2016.02.26,1005
2016.03.04,884
2016.03.11,810
2016.03.18,761
2016.03.25,748
2016.04.01,922
2016.04.08,849
2016.04.15,770
2016.04.22,725
2016.04.29,857
2016.05.06,863
2016.05.13,818
2016.05.20,753
2016.05.27,788
2016.06.03,852
2016.06.10,811
2016.06.17,770
2016.06.24,753
2016.07.01,1209
2016.07.08,1166
2016.07.15,1421
2016.07.22,1296
2016.07.29,1322
2016.08.05,1277
2016.08.12,1225
2016.08.19,1159
2016.08.26,1153
2016.09.02,1746
2016.09.09,1749
2016.09.16,1742
2016.09.23,1726
2016.09.30,1686
2016.10.14,1914
2016.10.21,1917
2016.10.28,2034
2016.11.04,1990
2016.11.11,1809
2016.11.18,1687
2016.11.25,1528
2016.12.02,1456
2016.12.09,1382
2016.12.16,1608
2016.12.23,1541
2016.12.30,1923
2017.01.06,2082
2017.01.13,2211
2017.01.20,2167
2017.01.27,2106
2017.02.03,2092
2017.02.10,1964
2017.02.17,1771
2017.02.24,1650
2017.03.03,1496
2017.03.10,1424
2017.03.17,1338
2017.03.24,1288
2017.03.31,1479
2017.04.07,1375
2017.04.14,1357
2017.04.21,1326
2017.04.28,1606
2017.05.05,1555
2017.05.12,1432
2017.05.19,1310
2017.05.26,1264
2017.06.02,1413
2017.06.09,1277
2017.06.16,1146
2017.06.23,1092
2017.06.30,1378
2017.07.07,1333
2017.07.14,1265
2017.07.21,1226
2017.07.28,1687
2017.08.04,1661
2017.08.11,1641
2017.08.18,1659
2017.08.25,1541
2017.09.01,1495
2017.09.08,1473
2017.09.15,1586
2017.09.22,1484
2017.09.29,1414
2017.10.13,1367
2017.10.20,1366
2017.10.27,1512
2017.11.03,1548
2017.11.10,1411
2017.11.17,1249
2017.11.24,1097
2017.12.01,1177
2017.12.08,1078
2017.12.15,1183
2017.12.22,1177
2017.12.29,1523
2018.01.05,1465
2018.01.12,1514
2018.01.19,1436
2018.01.26,1457
2018.02.02,1552
2018.02.09,1486
2018.02.14,1484
2018.02.23,1412
2018.03.02,1252
2018.03.09,1143
2018.03.16,1016
2018.03.23,945
2018.03.30,1127
2018.04.04,1128
2018.04.06,1128
2018.04.13,1152
2018.04.20,1152
2018.04.27,1403
2018.05.04,1468
2018.05.11,1382
2018.05.18,1308
2018.05.25,1283
2018.06.01,1445
2018.06.08,1358
2018.06.15,1266
2018.06.22,1194
2018.06.29,1545
2018.07.06,1555
2018.07.13,1685
2018.07.20,1616
2018.07.27,1877
2018.08.03,2074
