"序号","时间","期货结算价:布伦特原油(美元/桶)"
"1","2025-06-13","74.23"
"2","2025-06-12","69.36"
"3","2025-06-11","69.77"
"4","2025-06-10","66.87"
"5","2025-06-09","67.04"
"6","2025-06-06","66.47"
"7","2025-06-05","65.34"
"8","2025-06-04","64.86"
"9","2025-06-03","65.63"
"10","2025-06-02","63.91"
"11","2025-05-30","63.90"
"12","2025-05-29","64.15"
"13","2025-05-28","64.90"
"14","2025-05-27","64.09"
"15","2025-05-23","64.78"
"16","2025-05-22","64.44"
"17","2025-05-21","64.91"
"18","2025-05-20","65.38"
"19","2025-05-19","65.54"
"20","2025-05-16","65.41"
"21","2025-05-15","64.53"
"22","2025-05-14","66.09"
"23","2025-05-13","66.63"
"24","2025-05-12","64.96"
"25","2025-05-09","63.91"
"26","2025-05-08","62.84"
"27","2025-05-07","61.12"
"28","2025-05-06","62.15"
"29","2025-05-05","60.23"
"30","2025-05-02","61.29"
"31","2025-05-01","63.11"
"32","2025-04-30","63.12"
"33","2025-04-29","64.25"
"34","2025-04-28","65.86"
"35","2025-04-25","66.87"
"36","2025-04-24","66.55"
"37","2025-04-23","66.12"
"38","2025-04-22","67.44"
"39","2025-04-21","66.26"
"40","2025-04-17","67.96"
"41","2025-04-16","65.85"
"42","2025-04-15","64.67"
"43","2025-04-14","64.88"
"44","2025-04-11","64.76"
"45","2025-04-10","63.33"
"46","2025-04-09","65.48"
"47","2025-04-08","62.82"
"48","2025-04-07","64.21"
"49","2025-04-04","65.58"
"50","2025-04-03","70.14"
"51","2025-04-02","74.95"
"52","2025-04-01","74.76"
"53","2025-03-31","74.74"
"54","2025-03-28","73.63"
"55","2025-03-27","74.03"
"56","2025-03-26","73.79"
"57","2025-03-25","73.02"
"58","2025-03-24","73.00"
"59","2025-03-21","72.16"
"60","2025-03-20","72.00"
"61","2025-03-19","70.78"
"62","2025-03-18","70.56"
"63","2025-03-17","71.07"
"64","2025-03-14","70.58"
"65","2025-03-13","69.88"
"66","2025-03-12","70.95"
"67","2025-03-11","69.56"
"68","2025-03-10","69.28"
"69","2025-03-07","70.36"
"70","2025-03-06","69.46"
"71","2025-03-05","69.30"
"72","2025-03-04","71.04"
"73","2025-03-03","73.18"
"74","2025-02-28","73.18"
"75","2025-02-27","74.04"
"76","2025-02-26","72.53"
"77","2025-02-25","73.02"
"78","2025-02-24","74.78"
"79","2025-02-21","74.43"
"80","2025-02-20","76.48"
"81","2025-02-19","76.04"
"82","2025-02-18","75.84"
"83","2025-02-14","74.74"
"84","2025-02-13","75.02"
"85","2025-02-12","75.18"
"86","2025-02-11","77.00"
"87","2025-02-10","75.87"
"88","2025-02-07","74.66"
"89","2025-02-06","74.29"
"90","2025-02-05","74.61"
"91","2025-02-04","76.20"
"92","2025-02-03","76.75"
"93","2025-01-31","76.76"
"94","2025-01-30","76.87"
"95","2025-01-29","76.58"
"96","2025-01-28","77.49"
"97","2025-01-27","77.08"
"98","2025-01-24","78.50"
"99","2025-01-23","78.29"
"100","2025-01-22","79.00"
"101","2025-01-21","79.29"
"102","2025-01-17","80.79"
"103","2025-01-16","81.29"
"104","2025-01-15","82.03"
"105","2025-01-14","79.92"
"106","2025-01-13","81.01"
"107","2025-01-10","79.76"
"108","2025-01-09","76.92"
"109","2025-01-08","76.16"
"110","2025-01-07","77.05"
"111","2025-01-06","76.30"
"112","2025-01-03","76.51"
"113","2025-01-02","75.93"
"114","2024-12-31","74.38"
"115","2024-12-30","74.39"
"116","2024-12-27","74.17"
"117","2024-12-26","73.26"
"118","2024-12-24","73.58"
"119","2024-12-23","72.63"
"120","2024-12-20","72.94"
"121","2024-12-19","72.88"
"122","2024-12-18","73.39"
"123","2024-12-17","73.19"
"124","2024-12-16","73.91"
"125","2024-12-13","74.49"
"126","2024-12-12","73.41"
"127","2024-12-11","73.52"
"128","2024-12-10","72.19"
"129","2024-12-09","72.14"
"130","2024-12-06","71.12"
"131","2024-12-05","72.09"
"132","2024-12-04","72.31"
"133","2024-12-03","73.62"
"134","2024-12-02","72.94"
"135","2024-11-29","72.94"
"136","2024-11-27","72.83"
"137","2024-11-26","72.81"
"138","2024-11-25","73.01"
"139","2024-11-22","75.17"
"140","2024-11-21","74.23"
"141","2024-11-20","72.81"
"142","2024-11-19","73.31"
"143","2024-11-18","73.30"
"144","2024-11-15","71.04"
"145","2024-11-14","72.56"
"146","2024-11-13","72.28"
"147","2024-11-12","71.89"
"148","2024-11-11","71.83"
"149","2024-11-08","73.87"
"150","2024-11-07","75.63"
"151","2024-11-06","74.92"
"152","2024-11-05","75.53"
"153","2024-11-04","75.08"
"154","2024-11-01","73.16"
"155","2024-10-31","73.16"
"156","2024-10-30","72.55"
"157","2024-10-29","71.12"
"158","2024-10-28","71.42"
"159","2024-10-25","76.05"
"160","2024-10-24","74.38"
"161","2024-10-23","74.96"
"162","2024-10-22","76.04"
"163","2024-10-21","74.29"
"164","2024-10-18","73.06"
"165","2024-10-17","74.45"
"166","2024-10-16","74.22"
"167","2024-10-15","74.25"
"168","2024-10-14","77.46"
"169","2024-10-11","79.04"
"170","2024-10-10","79.40"
"171","2024-10-09","76.58"
"172","2024-10-08","77.18"
"173","2024-10-07","80.93"
"174","2024-10-04","78.05"
"175","2024-10-03","77.62"
"176","2024-10-02","73.90"
"177","2024-10-01","71.80"
"178","2024-09-30","71.77"
"179","2024-09-27","71.98"
"180","2024-09-26","71.60"
"181","2024-09-25","73.46"
"182","2024-09-24","75.17"
"183","2024-09-23","73.90"
"184","2024-09-20","74.49"
"185","2024-09-19","74.88"
"186","2024-09-18","73.65"
"187","2024-09-17","73.70"
"188","2024-09-16","72.75"
"189","2024-09-13","71.61"
"190","2024-09-12","71.97"
"191","2024-09-11","70.61"
"192","2024-09-10","69.19"
"193","2024-09-09","71.84"
"194","2024-09-06","71.06"
"195","2024-09-05","72.69"
"196","2024-09-04","72.70"
"197","2024-09-03","78.77"
"198","2024-08-30","78.80"
"199","2024-08-29","79.94"
"200","2024-08-28","78.65"
"201","2024-08-27","79.55"
"202","2024-08-26","81.43"
"203","2024-08-23","79.02"
"204","2024-08-22","77.22"
"205","2024-08-21","76.05"
"206","2024-08-20","77.20"
"207","2024-08-19","77.66"
"208","2024-08-16","79.68"
"209","2024-08-15","81.04"
"210","2024-08-14","79.76"
"211","2024-08-13","80.69"
"212","2024-08-12","82.30"
"213","2024-08-09","79.66"
"214","2024-08-08","79.16"
"215","2024-08-07","78.33"
"216","2024-08-06","76.48"
"217","2024-08-05","76.30"
"218","2024-08-02","76.81"
"219","2024-08-01","80.77"
"220","2024-07-31","80.72"
"221","2024-07-30","78.63"
"222","2024-07-29","79.78"
"223","2024-07-26","81.13"
"224","2024-07-25","82.37"
"225","2024-07-24","81.71"
"226","2024-07-23","81.01"
"227","2024-07-22","82.40"
"228","2024-07-19","82.63"
"229","2024-07-18","85.11"
"230","2024-07-17","85.08"
"231","2024-07-16","83.73"
"232","2024-07-15","84.85"
"233","2024-07-12","85.03"
"234","2024-07-11","85.40"
"235","2024-07-10","85.08"
"236","2024-07-09","84.66"
"237","2024-07-08","85.75"
"238","2024-07-05","86.54"
"239","2024-07-03","87.34"
"240","2024-07-02","86.24"
"241","2024-07-01","86.40"
"242","2024-06-28","86.41"
"243","2024-06-27","86.39"
"244","2024-06-26","85.25"
"245","2024-06-25","85.01"
"246","2024-06-24","86.01"
"247","2024-06-21","85.24"
"248","2024-06-20","85.71"
"249","2024-06-18","85.33"
"250","2024-06-17","84.25"
"251","2024-06-14","82.62"
"252","2024-06-13","82.75"
"253","2024-06-12","82.60"
"254","2024-06-11","81.92"
"255","2024-06-10","81.63"
"256","2024-06-07","79.62"
"257","2024-06-06","79.87"
"258","2024-06-05","78.41"
"259","2024-06-04","77.52"
"260","2024-06-03","81.61"
"261","2024-05-31","81.62"
"262","2024-05-30","81.86"
"263","2024-05-29","83.60"
"264","2024-05-28","84.22"
"265","2024-05-24","82.12"
"266","2024-05-23","81.36"
"267","2024-05-22","81.90"
"268","2024-05-21","82.88"
"269","2024-05-20","83.71"
"270","2024-05-17","83.98"
"271","2024-05-16","83.27"
"272","2024-05-15","82.75"
"273","2024-05-14","82.38"
"274","2024-05-13","83.36"
"275","2024-05-10","82.79"
"276","2024-05-09","83.88"
"277","2024-05-08","83.58"
"278","2024-05-07","83.16"
"279","2024-05-06","83.33"
"280","2024-05-03","82.96"
"281","2024-05-02","83.67"
"282","2024-05-01","87.89"
"283","2024-04-30","87.86"
"284","2024-04-29","88.40"
"285","2024-04-26","89.50"
"286","2024-04-25","89.01"
"287","2024-04-24","88.02"
"288","2024-04-23","88.42"
"289","2024-04-22","87.00"
"290","2024-04-19","87.29"
"291","2024-04-18","87.11"
"292","2024-04-17","87.29"
"293","2024-04-16","90.02"
"294","2024-04-15","90.10"
"295","2024-04-12","90.45"
"296","2024-04-11","89.74"
"297","2024-04-10","90.48"
"298","2024-04-09","89.42"
"299","2024-04-08","90.38"
"300","2024-04-05","91.17"
"301","2024-04-04","90.65"
"302","2024-04-03","89.35"
"303","2024-04-02","88.92"
"304","2024-04-01","87.42"
"305","2024-03-28","87.48"
"306","2024-03-27","86.09"
"307","2024-03-26","86.25"
"308","2024-03-25","86.75"
"309","2024-03-22","85.43"
"310","2024-03-21","85.78"
"311","2024-03-20","85.95"
"312","2024-03-19","87.38"
"313","2024-03-18","86.89"
"314","2024-03-15","85.34"
"315","2024-03-14","85.42"
"316","2024-03-13","84.03"
"317","2024-03-12","81.92"
"318","2024-03-11","82.21"
"319","2024-03-08","82.08"
"320","2024-03-07","82.96"
"321","2024-03-06","82.96"
"322","2024-03-05","82.04"
"323","2024-03-04","82.80"
"324","2024-03-01","83.56"
"325","2024-02-29","83.62"
"326","2024-02-28","83.68"
"327","2024-02-27","83.65"
"328","2024-02-26","82.53"
"329","2024-02-23","81.62"
"330","2024-02-22","83.67"
"331","2024-02-21","83.03"
"332","2024-02-20","82.34"
"333","2024-02-16","83.47"
"334","2024-02-15","82.86"
"335","2024-02-14","81.60"
"336","2024-02-13","82.77"
"337","2024-02-12","82.00"
"338","2024-02-09","82.19"
"339","2024-02-08","81.63"
"340","2024-02-07","79.21"
"341","2024-02-06","78.59"
"342","2024-02-05","77.99"
"343","2024-02-02","77.33"
"344","2024-02-01","81.74"
"345","2024-01-31","81.71"
"346","2024-01-30","82.87"
"347","2024-01-29","82.40"
"348","2024-01-26","83.55"
"349","2024-01-25","82.43"
"350","2024-01-24","80.04"
"351","2024-01-23","79.55"
"352","2024-01-22","80.06"
"353","2024-01-19","78.56"
"354","2024-01-18","79.10"
"355","2024-01-17","77.88"
"356","2024-01-16","78.29"
"357","2024-01-12","78.29"
"358","2024-01-11","77.41"
"359","2024-01-10","76.80"
"360","2024-01-09","77.59"
"361","2024-01-08","76.12"
"362","2024-01-05","78.76"
"363","2024-01-04","77.59"
"364","2024-01-03","78.25"
"365","2024-01-02","75.89"
"366","2023-12-29","78.42"
"367","2023-12-28","78.39"
"368","2023-12-27","79.65"
"369","2023-12-26","81.07"
"370","2023-12-22","79.07"
"371","2023-12-21","79.39"
"372","2023-12-20","79.70"
"373","2023-12-19","79.23"
"374","2023-12-18","77.95"
"375","2023-12-15","76.55"
"376","2023-12-14","76.61"
"377","2023-12-13","74.26"
"378","2023-12-12","73.24"
"379","2023-12-11","76.03"
"380","2023-12-08","75.84"
"381","2023-12-07","74.05"
"382","2023-12-06","74.30"
"383","2023-12-05","77.20"
"384","2023-12-04","78.03"
"385","2023-12-01","82.83"
"386","2023-11-30","82.83"
"387","2023-11-29","83.10"
"388","2023-11-28","81.68"
"389","2023-11-27","79.98"
"390","2023-11-24","80.58"
"391","2023-11-22","81.96"
"392","2023-11-21","82.45"
"393","2023-11-20","82.32"
"394","2023-11-17","80.61"
"395","2023-11-16","77.42"
"396","2023-11-15","81.18"
"397","2023-11-14","82.47"
"398","2023-11-13","82.52"
"399","2023-11-10","81.43"
"400","2023-11-09","80.01"
"401","2023-11-08","79.54"
"402","2023-11-07","81.61"
"403","2023-11-06","85.18"
"404","2023-11-03","84.89"
"405","2023-11-02","86.85"
"406","2023-11-01","87.42"
"407","2023-10-31","87.41"
"408","2023-10-30","87.45"
"409","2023-10-27","90.48"
"410","2023-10-26","87.93"
"411","2023-10-25","90.13"
"412","2023-10-24","88.07"
"413","2023-10-23","89.83"
"414","2023-10-20","92.16"
"415","2023-10-19","92.38"
"416","2023-10-18","91.50"
"417","2023-10-17","89.90"
"418","2023-10-16","89.65"
"419","2023-10-13","90.89"
"420","2023-10-12","86.00"
"421","2023-10-11","85.82"
"422","2023-10-10","87.65"
"423","2023-10-09","88.15"
"424","2023-10-06","84.58"
"425","2023-10-05","84.07"
"426","2023-10-04","85.81"
"427","2023-10-03","90.92"
"428","2023-10-02","95.26"
"429","2023-09-29","95.31"
"430","2023-09-28","95.38"
"431","2023-09-27","96.55"
"432","2023-09-26","93.96"
"433","2023-09-25","93.29"
"434","2023-09-22","93.27"
"435","2023-09-21","93.30"
"436","2023-09-20","93.53"
"437","2023-09-19","94.34"
"438","2023-09-18","94.43"
"439","2023-09-15","93.93"
"440","2023-09-14","93.70"
"441","2023-09-13","91.88"
"442","2023-09-12","92.06"
"443","2023-09-11","90.64"
"444","2023-09-08","90.65"
"445","2023-09-07","89.92"
"446","2023-09-06","90.60"
"447","2023-09-05","90.04"
"448","2023-09-01","86.84"
"449","2023-08-31","86.86"
"450","2023-08-30","85.86"
"451","2023-08-29","85.49"
"452","2023-08-28","84.42"
"453","2023-08-25","84.48"
"454","2023-08-24","83.36"
"455","2023-08-23","83.21"
"456","2023-08-22","84.03"
"457","2023-08-21","84.46"
"458","2023-08-18","84.80"
"459","2023-08-17","84.12"
"460","2023-08-16","83.45"
"461","2023-08-15","84.89"
"462","2023-08-14","86.21"
"463","2023-08-11","86.81"
"464","2023-08-10","86.40"
"465","2023-08-09","87.55"
"466","2023-08-08","86.17"
"467","2023-08-07","85.34"
"468","2023-08-04","86.24"
"469","2023-08-03","85.14"
"470","2023-08-02","83.20"
"471","2023-08-01","85.54"
"472","2023-07-31","85.56"
"473","2023-07-28","84.99"
"474","2023-07-27","84.24"
"475","2023-07-26","82.92"
"476","2023-07-25","83.64"
"477","2023-07-24","82.74"
"478","2023-07-21","81.07"
"479","2023-07-20","79.64"
"480","2023-07-19","79.46"
"481","2023-07-18","79.63"
"482","2023-07-17","78.50"
"483","2023-07-14","79.87"
"484","2023-07-13","81.36"
"485","2023-07-12","80.11"
"486","2023-07-11","79.40"
"487","2023-07-10","77.69"
"488","2023-07-07","78.47"
"489","2023-07-06","76.52"
"490","2023-07-05","76.65"
"491","2023-06-30","74.90"
"492","2023-06-29","74.34"
"493","2023-06-28","74.03"
"494","2023-06-27","72.26"
"495","2023-06-26","74.18"
"496","2023-06-23","73.85"
"497","2023-06-22","74.14"
"498","2023-06-21","77.12"
"499","2023-06-20","75.90"
"500","2023-06-16","76.61"
"501","2023-06-15","75.67"
"502","2023-06-14","73.20"
"503","2023-06-13","74.29"
"504","2023-06-12","71.84"
"505","2023-06-09","74.79"
"506","2023-06-08","75.96"
"507","2023-06-07","76.95"
