"rid","berth_id","port_id","terminal_id","berth_name","berth_operator","berth_type","berth_status","facility_type","latitude_indicator","longitude_indicator","dec_latitude","dec_longitude","berth_length_flat_side","berth_length_incl_dolphins","berth_length_continuous","depth_alongside_lw","draught_hw_max","draught_lw_max","berth_ukc_min","tidal_range_spring","tidal_range_neap","night_berthing","night_berthing_note","night_unberthing","ship_loa_max","ship_loa_min","ship_loa_note","ship_dwt_max","ship_dwt_min","ship_dwt_note","ship_disp_max","ship_disp_min","ship_disp_note","gas_capacity_min","gas_capacity_max","gas_capacity_note","ship_beam_max","ship_beam_note","berth_disp_max","gt_max","teu","total_pbl_min","manifold_bcm_max","manifold_bcm_min","manifold_scm_max","manifold_scm_min","manifold_height_max","manifold_height_min","derrick_swl_min","wl_masthead_height_max","manifold_pbl_min_fwd","manifold_pbl_min_aft","manifold_used","ro_ro","passenger","ramp_width","ramp_swl","breakbulk","naval","coastal","timber_products","fishing","container","transhipment","offshore","project_heavy","steel_products","twin_span","cranes_note","all_weather_berth","cold_ironing","side_alongside","bunkers_hfo","delivery_hfo","gangway_used","bunkers_do_go","delivery_do_go","moorings_fwd","moorings_aft","bunkers_lng","delivery_lng","fresh_water","delivery_fw","cow","berth_additional_info","reefer","livestock","waterline_height_hw_max_decimal","dry_bulk_cargo","sdc_berth_line","sdc_berth_type","is_confirmed","sdc_berth_name","lastupdatedate","remark"
"20663","97085","14635","53381","USCG","USCG","Pier","Active","Dry Cargo","N","W","33.724717","-118.26905","382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22/3/2022 14:58:53+08",
"270906","61421","14635","41539","206","Port of Los Angeles/Pasha Stevedoring & Terminals","Quay","Closed","Dry Cargo","N","W","33.763517","-118.246533",,,"665","12.1","9.8",,,,,,,,"180",,,"38000",,,,,,,,,"28.6",,,"23000",,,,,,,,,,,,,,,,,,"True",,,,,"True",,,,,,,,"True","Port or Starboard",,,,,,,,,,,,,"19/04/2021 - No vessel visits in one year.",,,,,,,,"POLA Container Terminal_206","19/4/2021 14:01:14+08",
"270908","61423","14635","41539","207","Port of Los Angeles/Pasha Stevedoring & Terminals","Quay","Active","Dry Cargo","N","W","33.763083","-118.247817",,,"665","12.1",,,,,,"All vessels",,"All vessels","200",,,"62000",,,,,,,,,"32.26",,,"38000",,,,,,,,,,,,,,,,,,"True",,,,,"True",,,,,,"Vessels use their own gear.",,"True","Starboard",,,,,,,,,,,,,,,,,,,,,"POLA Container Terminal_207","19/4/2021 14:00:22+08",
"270909","61424","14635","41539","208","Port of Los Angeles/Pasha Stevedoring & Terminals","Quay","Active","Dry Cargo","N","W","33.762533","-118.24935",,,"665","12.1","9.9",,,,,"All vessels",,"All vessels","205",,,"64000",,,,,,,,,"32.26",,,"38000",,,,,,,,,,,,,,,,,,"True",,,,,"True",,,,,,"Vessels use their own gear.",,"True","Port or Starboard",,,,,,,,,,,,,,,,,,,,,"POLA Container Terminal_208","19/4/2021 13:18:12+08",
"270910","61425","14635","41539","209","Port of Los Angeles/Pasha Stevedoring & Terminals","Quay","Active","Dry Cargo","N","W","33.762","-118.250867",,,"665","12.1",,,,,,"All vessels",,"All vessels","225",,,"74717",,,,,,,,,"32.26",,,"40562",,,,,,,,,,,,,,,,,,"True",,,,,"True",,,,,,"Vessels use their own gear.",,"True","Port or Starboard",,,,,,,,,,,,,,,,,,,,,"POLA Container Terminal_209","19/4/2021 13:02:09+08",
"270828","61413","14635","41538","No 135","Trans Pacific Service Corp (TraPac)","Alongside","Never Existed","Dry Cargo","N","W","33.768033","-118.277667","247",,"1234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"True",,,,,,"11 post Panamax with 30m gauge, 40t capacity.",,,,,,,,,,,,,,,,"Depths from 10.6 - 16.1m",,,,,,,,"TraPac Container Terminal_No 135","6/1/2016 12:51:22+08",
"270829","61414","14635","41538","136 and 137","TraPac LLC","Quay","Active","Dry Cargo","N","W","33.76645","-118.2755","315",,"630","13.7","12.6",,,,,"All vessels",,"All vessels","336",,,"105376",,,,,,,,,"45.8",,,"105644","9592",,,,,,,,,,,,,,,,,,,,,,"True",,,,,,"10 x Post- Panamax cranes with 30m gauge, 40t capacity available at the terminal.",,"True","Port",,,,,,,,,,,,,"Depths from 13.7 - 16.1m. ","True",,,,,,,"TraPac Container Terminal_136 and 137","20/4/2021 12:16:45+08",
"270830","61415","14635","41538","138 and 139","TraPac LLC","Quay","Active","Dry Cargo","N","W","33.766867","-118.271933","315",,"630","13.7","12.6",,,,,"All vessels",,"All vessels","336.3",,,"115997",,,,,,,,,"48.4",,,"93811","8749",,,,,,,,,,,,,,,,,,,,,,"True",,,,,,"10 x Post- Panamax cranes with 30m gauge, 40t capacity available at the terminal.",,"True","Port",,,,,,,,,,,,,"Depths from 13.7 - 16.1m.","True",,,,,,,"TraPac Container Terminal_138 and 139","20/4/2021 12:14:44+08",
"270831","61416","14635","41538","No 138","trans Pacific Service Corp (TraPac)","Quay","Never Existed","Dry Cargo","N","W","33.7661","-118.270983","247",,"1234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"True",,,,,,"11 post Panamax with 30m gauge, 40t capacity",,,,,,,,,,,,,,,,"Depths frm 10.6 - 16.1m",,,,,,,,"TraPac Container Terminal_No 138","6/1/2016 12:54:43+08",
"270907","61418","14635","41538","No 139","Trans Pacific Service Corp (TraPac)","Quay","Never Existed","Dry Cargo","N","W","33.763883","-118.271817","247",,"1234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"True",,,,,,"11 post Panamax with 30m gauge, 40t capacity",,,,,,,,,,,,,,,,"Depths from 10.6 - 16.1m",,,,,,,,"TraPac Container Terminal_No 139","6/1/2016 12:54:48+08",
