,Date,TEU
0,2020-01-06,102376.4842
1,2020-01-07,112914.75771428572
2,2020-01-08,123453.03122857143
3,2020-01-09,133991.30474285714
4,2020-01-10,144529.57825714286
5,2020-01-11,155067.85177142857
6,2020-01-12,165606.12528571428
7,2020-01-13,176144.3988
8,2020-01-14,170948.11608571428
9,2020-01-15,165751.83337142857
10,2020-01-16,160555.55065714286
11,2020-01-17,155359.26794285714
12,2020-01-18,150162.98522857143
13,2020-01-19,144966.70251428572
14,2020-01-20,139770.4198
15,2020-01-21,138264.2154714286
16,2020-01-22,136758.01114285714
17,2020-01-23,135251.80681428572
18,2020-01-24,133745.60248571428
19,2020-01-25,132239.39815714286
20,2020-01-26,130733.19382857143
21,2020-01-27,129226.9895
22,2020-01-28,135593.98798571428
23,2020-01-29,141960.98647142856
24,2020-01-30,148327.98495714285
25,2020-01-31,154694.98344285713
26,2020-02-01,161061.98192857142
27,2020-02-02,167428.9804142857
28,2020-02-03,173795.9789
29,2020-02-04,166761.12477142856
30,2020-02-05,159726.27064285713
31,2020-02-06,152691.41651428572
32,2020-02-07,145656.5623857143
33,2020-02-08,138621.70825714286
34,2020-02-09,131586.85412857143
35,2020-02-10,124552.0
36,2020-02-11,126180.6421
37,2020-02-12,127809.28420000001
38,2020-02-13,129437.9263
39,2020-02-14,131066.5684
40,2020-02-15,132695.21050000002
41,2020-02-16,134323.8526
42,2020-02-17,135952.4947
43,2020-02-18,126883.49320142857
44,2020-02-19,117814.49170285715
45,2020-02-20,108745.49020428571
46,2020-02-21,99676.48870571429
47,2020-02-22,90607.48720714285
48,2020-02-23,81538.48570857142
49,2020-02-24,72469.48421
50,2020-02-25,78896.34135142856
51,2020-02-26,85323.19849285715
52,2020-02-27,91750.05563428572
53,2020-02-28,98176.91277571429
54,2020-02-29,104603.76991714287
55,2020-03-01,111030.62705857144
56,2020-03-02,117457.4842
57,2020-03-03,120879.62855714286
58,2020-03-04,124301.77291428573
59,2020-03-05,127723.91727142858
60,2020-03-06,131146.06162857145
61,2020-03-07,134568.2059857143
62,2020-03-08,137990.35034285716
63,2020-03-09,141412.4947
64,2020-03-10,138094.5653857143
65,2020-03-11,134776.63607142857
66,2020-03-12,131458.70675714285
67,2020-03-13,128140.77744285714
68,2020-03-14,124822.84812857144
69,2020-03-15,121504.91881428572
70,2020-03-16,118186.9895
71,2020-03-17,117091.41807142856
72,2020-03-18,115995.84664285714
73,2020-03-19,114900.2752142857
74,2020-03-20,113804.70378571429
75,2020-03-21,112709.13235714285
76,2020-03-22,111613.56092857142
77,2020-03-23,110517.9895
78,2020-03-24,106355.84663857143
79,2020-03-25,102193.70377714286
80,2020-03-26,98031.56091571429
81,2020-03-27,93869.41805428572
82,2020-03-28,89707.27519285714
83,2020-03-29,85545.13233142857
84,2020-03-30,81382.98947
85,2020-03-31,82696.70526
86,2020-04-01,84010.42105
87,2020-04-02,85324.13684
88,2020-04-03,86637.85263
89,2020-04-04,87951.56842
90,2020-04-05,89265.28421
91,2020-04-06,90579.0
92,2020-04-07,88727.71428571429
93,2020-04-08,86876.42857142857
94,2020-04-09,85025.14285714286
95,2020-04-10,83173.85714285714
96,2020-04-11,81322.57142857143
97,2020-04-12,79471.28571428571
98,2020-04-13,77620.0
99,2020-04-14,84963.6421
100,2020-04-15,92307.2842
101,2020-04-16,99650.92629999999
102,2020-04-17,106994.56839999999
103,2020-04-18,114338.21049999999
104,2020-04-19,121681.8526
105,2020-04-20,129025.4947
106,2020-04-21,129473.99545714285
107,2020-04-22,129922.49621428571
108,2020-04-23,130370.99697142857
109,2020-04-24,130819.49772857143
110,2020-04-25,131267.99848571428
111,2020-04-26,131716.49924285716
112,2020-04-27,132165.0
113,2020-04-28,133814.21202857143
114,2020-04-29,135463.42405714287
115,2020-04-30,137112.6360857143
116,2020-05-01,138761.8481142857
117,2020-05-02,140411.06014285714
118,2020-05-03,142060.27217142857
119,2020-05-04,143709.4842
120,2020-05-05,149550.98645714286
121,2020-05-06,155392.48871428572
122,2020-05-07,161233.99097142857
123,2020-05-08,167075.49322857143
124,2020-05-09,172916.9954857143
125,2020-05-10,178758.49774285714
126,2020-05-11,184600.0
127,2020-05-12,171306.0
128,2020-05-13,158012.0
129,2020-05-14,144718.0
130,2020-05-15,131424.0
131,2020-05-16,118130.0
132,2020-05-17,104836.0
133,2020-05-18,91542.0
134,2020-05-19,91281.98779285714
135,2020-05-20,91021.97558571429
136,2020-05-21,90761.96337857142
137,2020-05-22,90501.95117142858
138,2020-05-23,90241.93896428571
139,2020-05-24,89981.92675714286
140,2020-05-25,89721.91455
141,2020-05-26,93018.426
142,2020-05-27,96314.93745
143,2020-05-28,99611.4489
144,2020-05-29,102907.96035
145,2020-05-30,106204.4718
146,2020-05-31,109500.98324999999
147,2020-06-01,112797.4947
148,2020-06-02,117052.56538571428
149,2020-06-03,121307.63607142857
150,2020-06-04,125562.70675714285
151,2020-06-05,129817.77744285714
152,2020-06-06,134072.84812857144
153,2020-06-07,138327.91881428572
154,2020-06-08,142582.9895
155,2020-06-09,149837.991
156,2020-06-10,157092.9925
157,2020-06-11,164347.994
158,2020-06-12,171602.9955
159,2020-06-13,178857.997
160,2020-06-14,186112.9985
161,2020-06-15,193368.0
162,2020-06-16,184842.3563857143
163,2020-06-17,176316.71277142857
164,2020-06-18,167791.06915714286
165,2020-06-19,159265.42554285715
166,2020-06-20,150739.78192857144
167,2020-06-21,142214.13831428572
168,2020-06-22,133688.4947
169,2020-06-23,137908.63755714288
170,2020-06-24,142128.78041428572
171,2020-06-25,146348.9232714286
172,2020-06-26,150569.06612857143
173,2020-06-27,154789.2089857143
174,2020-06-28,159009.35184285714
175,2020-06-29,163229.4947
176,2020-06-30,164290.35034285716
177,2020-07-01,165351.2059857143
178,2020-07-02,166412.06162857145
179,2020-07-03,167472.91727142857
180,2020-07-04,168533.7729142857
181,2020-07-05,169594.62855714286
182,2020-07-06,170655.4842
183,2020-07-07,169991.1171
184,2020-07-08,169326.75
185,2020-07-09,168662.3829
186,2020-07-10,167998.01580000002
187,2020-07-11,167333.64870000002
188,2020-07-12,166669.28160000002
189,2020-07-13,166004.9145
190,2020-07-14,163174.69947142858
191,2020-07-15,160344.48444285715
192,2020-07-16,157514.26941428572
193,2020-07-17,154684.0543857143
194,2020-07-18,151853.83935714286
195,2020-07-19,149023.62432857143
196,2020-07-20,146193.4093
197,2020-07-21,149652.27864285716
198,2020-07-22,153111.14798571428
199,2020-07-23,156570.01732857144
200,2020-07-24,160028.88667142857
201,2020-07-25,163487.75601428573
202,2020-07-26,166946.62535714288
203,2020-07-27,170405.4947
204,2020-07-28,162312.8511
205,2020-07-29,154220.20750000002
206,2020-07-30,146127.5639
207,2020-07-31,138034.9203
208,2020-08-01,129942.2767
209,2020-08-02,121849.6331
210,2020-08-03,113756.9895
211,2020-08-04,113443.6209
212,2020-08-05,113130.2523
213,2020-08-06,112816.88369999999
214,2020-08-07,112503.5151
215,2020-08-08,112190.1465
216,2020-08-09,111876.7779
217,2020-08-10,111563.4093
218,2020-08-11,118291.06361428571
219,2020-08-12,125018.71792857142
220,2020-08-13,131746.37224285715
221,2020-08-14,138474.02655714285
222,2020-08-15,145201.68087142857
223,2020-08-16,151929.3351857143
224,2020-08-17,158656.9895
225,2020-08-18,161414.9173142857
226,2020-08-19,164172.84512857144
227,2020-08-20,166930.77294285715
228,2020-08-21,169688.70075714285
229,2020-08-22,172446.62857142856
230,2020-08-23,175204.5563857143
231,2020-08-24,177962.4842
232,2020-08-25,177803.19998571428
233,2020-08-26,177643.91577142858
234,2020-08-27,177484.63155714286
235,2020-08-28,177325.34734285716
236,2020-08-29,177166.06312857143
237,2020-08-30,177006.77891428574
238,2020-08-31,176847.4947
239,2020-09-01,172009.42252857145
240,2020-09-02,167171.35035714286
241,2020-09-03,162333.2781857143
242,2020-09-04,157495.2060142857
243,2020-09-05,152657.13384285715
244,2020-09-06,147819.06167142856
245,2020-09-07,142980.9895
246,2020-09-08,140285.84664285713
247,2020-09-09,137590.7037857143
248,2020-09-10,134895.56092857142
249,2020-09-11,132200.41807142858
250,2020-09-12,129505.2752142857
251,2020-09-13,126810.13235714285
252,2020-09-14,124114.9895
253,2020-09-15,130768.49024285714
254,2020-09-16,137421.99098571428
255,2020-09-17,144075.49172857142
256,2020-09-18,150728.9924714286
257,2020-09-19,157382.49321428573
258,2020-09-20,164035.99395714287
259,2020-09-21,170689.4947
260,2020-09-22,168252.5653857143
