port_name,date,weekly_teu_sum
USNYK,2020/1/6,199711.904
USNYK,2020/1/13,285375.9684
USNYK,2020/1/20,234691.4737
USNYK,2020/1/27,272229.4421
USNYK,2020/2/3,314668.9684
USNYK,2020/2/10,278127.9684
USNYK,2020/2/17,264634.883
USNYK,2020/2/24,243780.2923
USNYK,2020/3/2,229261.3882
USNYK,2020/3/9,272475.9684
USNYK,2020/3/16,220125.3672
USNYK,2020/3/23,264689.8619
USNYK,2020/3/30,241370.3882
USNYK,2020/4/6,281025.883
USNYK,2020/4/13,238928.883
USNYK,2020/4/20,279570.4632
USNYK,2020/4/27,286973.9579
USNYK,2020/5/4,291250.4842
USNYK,2020/5/11,231846.9684
USNYK,2020/5/18,278406.7975
USNYK,2020/5/25,263158.9789
USNYK,2020/6/1,266598.8724
USNYK,2020/6/8,230772.9684
USNYK,2020/6/15,302160.4737
USNYK,2020/6/22,256364.3672
USNYK,2020/6/29,281016.883
USNYK,2020/7/6,318145.4526
USNYK,2020/7/13,289027.8724
USNYK,2020/7/20,253024.4526
USNYK,2020/7/27,299755.3882
USNYK,2020/8/3,280936.7436
USNYK,2020/8/10,294765.9368
USNYK,2020/8/17,273383.4632
USNYK,2020/8/24,325945.3777
USNYK,2020/8/31,272338.4526
USNYK,2020/9/7,230278.4737
USNYK,2020/9/14,395391.9368
USNYK,2020/9/21,270862.9579
USNYK,2020/9/28,284254.2068
USNYK,2020/10/5,367175.4632
USNYK,2020/10/12,290054.3567
USNYK,2020/10/19,311114.8724
USNYK,2020/10/26,303398.8619
USNYK,2020/11/2,315244.4526
USNYK,2020/11/9,334441.4737
USNYK,2020/11/16,272174.808
USNYK,2020/11/23,329916.4421
USNYK,2020/11/30,311005.9579
USNYK,2020/12/7,249526.4842
USNYK,2020/12/14,365747.9474
USNYK,2020/12/21,258884.3777
USNYK,2020/12/28,222266.4526
USNYK,2021/1/4,255924.9579
USNYK,2021/1/11,261223.4737
USNYK,2021/1/18,360663.9684
USNYK,2021/1/25,250005.9474
USNYK,2021/2/1,290400.3777
USNYK,2021/2/8,258708.8935
USNYK,2021/2/15,292441.3133
USNYK,2021/2/22,259559.3882
USNYK,2021/3/1,273482.4632
USNYK,2021/3/8,367754.4632
USNYK,2021/3/15,268558.2712
USNYK,2021/3/22,286659.2817
USNYK,2021/3/29,334844.4526
USNYK,2021/4/5,200051.4632
USNYK,2021/4/12,245438.4632
USNYK,2021/4/19,314204.3777
USNYK,2021/4/26,301564.4632
USNYK,2021/5/3,281743.3028
USNYK,2021/5/10,320973.9579
USNYK,2021/5/17,285168.7975
USNYK,2021/5/24,300041.808
USNYK,2021/5/31,281604.3882
USNYK,2021/6/7,440268.9789
USNYK,2021/6/14,353320.8619
USNYK,2021/6/21,280097.9579
USNYK,2021/6/28,324264.3777
USNYK,2021/7/5,300560.8935
USNYK,2021/7/12,298762.3777
USNYK,2021/7/19,294196.3777
USNYK,2021/7/26,326738.4526
USNYK,2021/8/2,294086.9579
USNYK,2021/8/9,342566.8724
USNYK,2021/8/16,332130.9474
USNYK,2021/8/23,276173.883
USNYK,2021/8/30,318742.8724
USNYK,2021/9/6,310277.9684
USNYK,2021/9/13,307075.9368
USNYK,2021/9/20,319169.3882
USNYK,2021/9/27,265801.9579
USNYK,2021/10/4,280486.883
USNYK,2021/10/11,372729.8724
USNYK,2021/10/18,255537.9579
USNYK,2021/10/25,309848.9474
USNYK,2021/11/1,273535.3777
USNYK,2021/11/8,253586.9579
USNYK,2021/11/15,225901.9789
USNYK,2021/11/22,287550.2923
USNYK,2021/11/29,286665.9684
USNYK,2021/12/6,358522.4632
USNYK,2021/12/13,332832.4632
USNYK,2021/12/20,329011.4526
USNYK,2021/12/27,216584.8935
USNYK,2022/1/3,310408.4737
USNYK,2022/1/10,313031.4632
USNYK,2022/1/17,287750.9684
USNYK,2022/1/24,292903.9789
USNYK,2022/1/31,233468.4526
USNYK,2022/2/7,166969.4737
USNYK,2022/2/14,305750.4737
USNYK,2022/2/21,286870.4632
USNYK,2022/2/28,278610.3133
USNYK,2022/3/7,304578.8935
USNYK,2022/3/14,321835.9684
USNYK,2022/3/21,267043.7975
USNYK,2022/3/28,295123.9684
USNYK,2022/4/4,378725.4632
USNYK,2022/4/11,264570.8186
USNYK,2022/4/18,268040.9579
USNYK,2022/4/25,270325.4632
USNYK,2022/5/2,324350.3777
USNYK,2022/5/9,230957.9684
USNYK,2022/5/16,282578.8724
USNYK,2022/5/23,292259.9474
USNYK,2022/5/30,279062.9684
USNYK,2022/6/6,283282.9579
USNYK,2022/6/13,367824.9474
USNYK,2022/6/20,276992.4632
USNYK,2022/6/27,316020.4737
USNYK,2022/7/4,222045.8724
USNYK,2022/7/11,296833.9789
USNYK,2022/7/18,263517.4842
USNYK,2022/7/25,289574.4316
USNYK,2022/8/1,275594.3777
USNYK,2022/8/8,220768.3777
USNYK,2022/8/15,304531.3988
USNYK,2022/8/22,284131.8619
USNYK,2022/8/29,311898.9684
USNYK,2022/9/5,348469.3882
USNYK,2022/9/12,250598.9579
USNYK,2022/9/19,305698.4526
USNYK,2022/9/26,335666.4632
USNYK,2022/10/3,347977.3777
USNYK,2022/10/10,300692.4737
USNYK,2022/10/17,297255.9684
USNYK,2022/10/24,340610.9474
USNYK,2022/10/31,302987.9579
USNYK,2022/11/7,261896.9579
USNYK,2022/11/14,318147.4632
USNYK,2022/11/21,355732.9684
USNYK,2022/11/28,258111.3882
USNYK,2022/12/5,340048.3028
USNYK,2022/12/12,266458.8935
USNYK,2022/12/19,285859.9684
USNYK,2022/12/26,228156.4632
USNYK,2023/1/2,294730.4421
USNYK,2023/1/9,253488.4632
USNYK,2023/1/16,299105.883
USNYK,2023/1/23,312636.8186
USNYK,2023/1/30,284573.8935
USNYK,2023/2/6,241631.2173
USNYK,2023/2/13,281043.3882
USNYK,2023/2/20,297688.9684
USNYK,2023/2/27,304528.904
USNYK,2023/3/6,379609.4526
USNYK,2023/3/13,260118.9789
USNYK,2023/3/20,295140.4737
USNYK,2023/3/27,283436.8724
USNYK,2023/4/3,311877.4842
USNYK,2023/4/10,247726.4842
USNYK,2023/4/17,297888.4842
USNYK,2023/4/24,321937.8935
USNYK,2023/5/1,303942.9684
USNYK,2023/5/8,240913.9684
USNYK,2023/5/15,316983.8935
USNYK,2023/5/22,321721.9579
USNYK,2023/5/29,321977.4842
USNYK,2023/6/5,282061.9684
USNYK,2023/6/12,305655.3882
USNYK,2023/6/19,329315.3882
USNYK,2023/6/26,336886.9789
USNYK,2023/7/3,313528.9579
USNYK,2023/7/10,445167.3882
USNYK,2023/7/17,306835.4632
USNYK,2023/7/24,333290.883
USNYK,2023/7/31,375800.808
USNYK,2023/8/7,322368.4842
USNYK,2023/8/14,317761.3882
USNYK,2023/8/21,298692.883
USNYK,2023/8/28,260203.9789
USNYK,2023/9/4,283251.8291
USNYK,2023/9/11,309832.9789
USNYK,2023/9/18,299826.9684
USNYK,2023/9/25,301973.9579
USNYK,2023/10/2,380633.3988
USNYK,2023/10/9,332007.9474
USNYK,2023/10/16,346981.9789
USNYK,2023/10/23,340273.883
USNYK,2023/10/30,312303.3238
USNYK,2023/11/6,243623.4632
USNYK,2023/11/13,220781.8619
USNYK,2023/11/20,259313.3988
USNYK,2023/11/27,280327.4737
USNYK,2023/12/4,333124.9895
USNYK,2023/12/11,293881.4737
USNYK,2023/12/18,298510.8291
USNYK,2023/12/25,233271.3028
USNYK,2024/1/1,311207.4842
USNYK,2024/1/8,341376.8935
USNYK,2024/1/15,220429.8935
USNYK,2024/1/22,381172.9789
USNYK,2024/1/29,280209.4093
USNYK,2024/2/5,328541.4632
USNYK,2024/2/12,223707.8186
USNYK,2024/2/19,300609.4737
USNYK,2024/2/26,302673.9789
USNYK,2024/3/4,292249.8935
USNYK,2024/3/11,329190.8409
USNYK,2024/3/18,253019.4737
USNYK,2024/3/25,392811.4737
USNYK,2024/4/1,253804.4842
USNYK,2024/4/8,293772.4093
USNYK,2024/4/15,252358.9895
USNYK,2024/4/22,296094.2384
USNYK,2024/4/29,316887.3133
USNYK,2024/5/6,360439.9263
USNYK,2024/5/13,269752.3777
USNYK,2024/5/20,328984.3028
USNYK,2024/5/27,272962.4842
USNYK,2024/6/3,334379.4316
USNYK,2024/6/10,247793.8935
USNYK,2024/6/17,316207.9684
USNYK,2024/6/24,254035.4737
USNYK,2024/7/1,260663.3133
USNYK,2024/7/8,344113.3882
USNYK,2024/7/15,351263.4632
USNYK,2024/7/22,289387.9684
USNYK,2024/7/29,313191.3988
USNYK,2024/8/5,311806.9579
USNYK,2024/8/12,276110.9789
USNYK,2024/8/19,291575.9684
USNYK,2024/8/26,288574.4842
USNYK,2024/9/2,281664.9789
USNYK,2024/9/9,261657.3988
USNYK,2024/9/16,267988.3028
USNYK,2024/9/23,317730.3988
USNYK,2024/9/30,335807.3133
USNYK,2024/10/7,192064.808
USNYK,2024/10/14,185128.3882
USNYK,2024/10/21,302492.9684
USNYK,2024/10/28,351255.883
USNYK,2024/11/4,268868.8935
USNYK,2024/11/11,328773.7226
USNYK,2024/11/18,308200.4737
USNYK,2024/11/25,276636.7331
USNYK,2024/12/2,272648.3882
USNYK,2024/12/9,321401.4737
USNYK,2024/12/16,295937.3882
USNYK,2024/12/23,364606.8724
USNYK,2024/12/30,258406.9789
USNYK,2025/1/6,298469.4526
USNYK,2025/1/13,71600.98947
USNYK,2025/1/20,289273.3988
USNYK,2025/1/27,311525.7331
USNYK,2025/2/3,285415.8935
USNYK,2025/2/10,144896.4842
USNYK,2025/2/17,154226.3882
USNYK,2025/2/24,351017.3344
USNYK,2025/3/3,279278.883
USNYK,2025/3/10,113678.4947
USNYK,2025/3/17,205854.2923
USNYK,2025/3/24,302420.9684
USNYK,2025/3/31,336876.8935
USNYK,2025/4/7,310246.3133
USNYK,2025/4/14,135173.9895
USNYK,2025/4/21,378106.7331
USNYK,2025/4/28,301389.3882
USLSA,2020/1/6,102376.4842
USLSA,2020/1/13,176144.3988
USLSA,2020/1/20,139770.4198
USLSA,2020/1/27,129226.9895
USLSA,2020/2/3,173795.9789
USLSA,2020/2/10,124552
USLSA,2020/2/17,135952.4947
USLSA,2020/2/24,72469.48421
USLSA,2020/3/2,117457.4842
USLSA,2020/3/9,141412.4947
USLSA,2020/3/16,118186.9895
USLSA,2020/3/23,110517.9895
USLSA,2020/3/30,81382.98947
USLSA,2020/4/6,90579
USLSA,2020/4/13,77620
USLSA,2020/4/20,129025.4947
USLSA,2020/4/27,132165
USLSA,2020/5/4,143709.4842
USLSA,2020/5/11,184600
USLSA,2020/5/18,91542
USLSA,2020/5/25,89721.91455
USLSA,2020/6/1,112797.4947
USLSA,2020/6/8,142582.9895
USLSA,2020/6/15,193368
USLSA,2020/6/22,133688.4947
USLSA,2020/6/29,163229.4947
USLSA,2020/7/6,170655.4842
USLSA,2020/7/13,166004.9145
USLSA,2020/7/20,146193.4093
USLSA,2020/7/27,170405.4947
USLSA,2020/8/3,113756.9895
USLSA,2020/8/10,111563.4093
USLSA,2020/8/17,158656.9895
USLSA,2020/8/24,177962.4842
USLSA,2020/8/31,176847.4947
USLSA,2020/9/7,142980.9895
USLSA,2020/9/14,124114.9895
USLSA,2020/9/21,170689.4947
USLSA,2020/9/28,153630.9895
USLSA,2020/10/5,126215.9789
USLSA,2020/10/12,169513.904
USLSA,2020/10/19,151839.4947
USLSA,2020/10/26,153639.3344
USLSA,2020/11/2,156758.9895
