week,IPCI_0,IPCI
2019/12/30,1.403012517,4.03012517
2020/1/6,1.554343233,5.543432328
2020/1/13,1.243061111,2.430611111
2020/1/20,1.241820178,2.41820178
2020/1/27,1.290703377,2.907033766
2020/2/3,1.307484308,3.074843083
2020/2/10,1.747795699,7.477956989
2020/2/17,1.195743165,1.957431655
2020/2/24,1.390070927,3.900709265
2020/3/2,1.218760265,2.187602649
2020/3/9,1.793732706,7.937327064
2020/3/16,1.154844184,1.548441838
2020/3/23,1.153609674,1.53609674
2020/3/30,1.150271217,1.502712166
2020/4/6,1.888679511,8.886795107
2020/4/13,1.476589134,4.765891344
2020/4/20,1.365625969,3.65625969
2020/4/27,1.249344134,2.493441341
2020/5/4,1.348614753,3.486147526
2020/5/11,1.545906936,5.459069364
2020/5/18,1.151065397,1.510653968
2020/5/25,1.186879433,1.868794326
2020/6/1,1.276422904,2.764229039
2020/6/8,1.610216895,6.10216895
2020/6/15,1.271405912,2.714059123
2020/6/22,1.260595434,2.605954338
2020/6/29,1.255413524,2.554135243
2020/7/6,1.884850687,8.848506873
2020/7/13,1.327656956,3.276569561
2020/7/20,1.305420054,3.054200542
2020/7/27,1.211472165,2.114721649
2020/8/3,1.262306863,2.623068627
2020/8/10,1.955224289,9.552242894
2020/8/17,1.335270034,3.352700337
2020/8/24,1.436118074,4.361180745
2020/8/31,1.33972994,3.397299401
2020/9/7,1.386633745,3.866337449
2020/9/14,1.444240036,4.442400357
2020/9/21,1.530886521,5.308865209
2020/9/28,1.298909213,2.989092127
2020/10/5,1.511590503,5.115905028
2020/10/12,1.770311702,7.703117021
2020/10/19,2.043197582,10.43197582
2020/10/26,1.816410653,8.164106529
2020/11/2,1.342398502,3.423985019
2020/11/9,1.728561174,7.285611742
2020/11/16,2.282239683,12.82239683
2020/11/23,2.639705178,16.39705178
2020/11/30,1.618293561,6.182935606
2020/12/7,1.942929279,9.429292793
2020/12/14,3.260270707,22.60270707
2020/12/21,4.076272404,30.76272404
2020/12/28,3.43189277,24.3189277
2021/1/4,3.224842912,22.24842912
2021/1/11,2.869006184,18.69006184
2021/1/18,3.247788825,22.47788825
2021/1/25,3.618568085,26.18568085
2021/2/1,3.210493379,22.10493379
2021/2/8,3.067008561,20.67008561
2021/2/15,4.069413632,30.69413632
2021/2/22,3.507281054,25.07281054
2021/3/1,2.741526396,17.41526396
2021/3/8,2.688147126,16.88147126
2021/3/15,2.953899621,19.53899621
2021/3/22,2.856550759,18.56550759
2021/3/29,3.816236721,28.16236721
2021/4/5,3.456776988,24.56776988
2021/4/12,2.145885422,11.45885422
2021/4/19,2.518354866,15.18354866
2021/4/26,2.893021264,18.93021264
2021/5/3,2.647837421,16.47837421
2021/5/10,2.408965926,14.08965926
2021/5/17,2.632125257,16.32125257
2021/5/24,2.309159699,13.09159699
2021/5/31,2.618583964,16.18583964
2021/6/7,2.314870266,13.14870266
2021/6/14,2.50942272,15.0942272
2021/6/21,2.312572208,13.12572208
2021/6/28,3.186619355,21.86619355
2021/7/5,2.82396058,18.2396058
2021/7/12,2.411401661,14.11401661
2021/7/19,3.209447843,22.09447843
2021/7/26,2.996581223,19.96581223
2021/8/2,2.436197701,14.36197701
2021/8/9,3.413944881,24.13944881
2021/8/16,3.652222797,26.52222797
2021/8/23,3.051301333,20.51301333
2021/8/30,2.779839357,17.79839357
