leg_end_port_code,date,weighted_teu
USLSA,2020/1/6,280454.1488
USLSA,2020/1/13,789097.6329
USLSA,2020/1/20,432055.02
USLSA,2020/1/27,403820.0083
USLSA,2020/2/3,578131.1175
USLSA,2020/2/10,501891.3458
USLSA,2020/2/17,549766.3246
USLSA,2020/2/24,200941.6538
USLSA,2020/3/2,337044.8542
USLSA,2020/3/9,506823.3904
USLSA,2020/3/16,405836.5554
USLSA,2020/3/23,276541.4033
USLSA,2020/3/30,223181.1371
USLSA,2020/4/6,249327.9738
USLSA,2020/4/13,357324.1296
USLSA,2020/4/20,447054.7042
USLSA,2020/4/27,897965.3858
USLSA,2020/5/4,528567.2292
USLSA,2020/5/11,911110.2933
USLSA,2020/5/18,323395.9746
USLSA,2020/5/25,255864.7496
USLSA,2020/6/1,338326.4558
USLSA,2020/6/8,469031.6896
USLSA,2020/6/15,871295.6946
USLSA,2020/6/22,431070.8608
USLSA,2020/6/29,432888.2183
USLSA,2020/7/6,542719.5425
USLSA,2020/7/13,753208.3704
USLSA,2020/7/20,429367.9596
USLSA,2020/7/27,568070.6983
USLSA,2020/8/3,374587.1121
USLSA,2020/8/10,326054.3275
USLSA,2020/8/17,705964.6846
USLSA,2020/8/24,696951.06
USLSA,2020/8/31,754905.05
USLSA,2020/9/7,451436.6329
USLSA,2020/9/14,418166.9383
USLSA,2020/9/21,609244.0388
USLSA,2020/9/28,579521.7125
USLSA,2020/10/5,442506.0479
USLSA,2020/10/12,672127.3979
USLSA,2020/10/19,755842.8713
USLSA,2020/10/26,886844.8038
USLSA,2020/11/2,713785.3021
USLSA,2020/11/9,305738.9742
USLSA,2020/11/16,689643.7471
USLSA,2020/11/23,1371676.139
USLSA,2020/11/30,542415.2671
USLSA,2020/12/7,573510.9813
USLSA,2020/12/14,1165692.203
USLSA,2020/12/21,703325.7113
USLSA,2020/12/28,1298322.805
USLSA,2021/1/4,625217.1283
USLSA,2021/1/11,1175569.365
