"Week","true_CCFI","pre_CCFI"
"2022年05月30日",2682.4,2339.0874
"2022年06月06日",2665.78,2413.2378
"2022年06月13日",2691.53,2598.7102
"2022年06月20日",2676.02,2715.4615
"2022年06月27日",2643.55,2682.7585
"2022年07月04日",2577.61,2665.5619
"2022年07月11日",2642.41,2691.6267
"2022年07月18日",2536.56,2676.4889
"2022年07月25日",2529,2643.7351
"2022年08月01日",2457.62,2577.9011
"2022年08月08日",2471.12,2643.5728
"2022年08月15日",2362.71,2535.9005
"2022年08月22日",2360.4,2528.9754
"2022年08月29日",2232.89,2457.3497
"2022年09月05日",2194.66,2470.8266
"2022年09月12日",2012.7,2361.7703
"2022年09月19日",1913.8,2359.3006
"2022年09月26日",1697.24,2231.3296
"2022年10月03日",1547.78,2193.2308
"2022年10月10日",1486.37,2010.3738
"2022年10月17日",1389.53,1911.1088
"2022年10月24日",1241.65,1693.3459
"2022年10月31日",1171.56,1542.1976
"2022年11月07日",1138.42,1482.7321
"2022年11月14日",1036.96,1386.6876
"2022年11月21日",988.72,1238.2623
"2022年11月28日",927.76,1168.398
"2022年12月05日",927.2,1135.7015
"2022年12月12日",894.62,1034.7289
"2022年12月19日",906.35,986.9453
